source;destination;street;distance
Times City;MB Bank;Minh Khai;450
MB Bank;Chân cầu Vĩnh Tuy;Minh Khai;500
Chân cầu Vĩnh Tuy;Trạm y tế Thanh Lương;Nguyễn Khoái;1100
Trạm y tế Thanh Lương;Circle K;Trần Khát Chân;500
MB Bank;Pharmacity;Minh Khai;600
Pharmacity;VIB;Minh Khai;120
Pharmacity;Circle K;Minh Khai;1500
Circle K;Cây xăng Trần Khát Chân;Trần Khát Chân;1400
VIB;Bệnh viện Thanh Nhàn;Thanh Nhàn;700
Bệnh viện Thanh Nhàn;Cây xăng Võ Thị Sáu;Thanh Nhàn;700
Cây xăng Võ Thị Sáu;Cây xăng Trần Khát Chân;Võ Thị Sáu;750
Cây xăng Trần Khát Chân;Thế giới di động;Trần Khát Chân;400
Thế giới di động;Cửa hàng thời trang Decao;Phố Huế;350
Cửa hàng thời trang Decao;Vincom Bà Triệu;Đoàn Trần Nghiệp;150
